Personalekategori,Løntrin,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
46 - Jurister/økonomer,LR 35 (u.åremål),11.0,46938,0,9750,2082,3840,0,3352,0,65962,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,LR 36 (u.åremål),17.9,50522,0,11329,1994,9076,0,4618,0,77539,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,LR 37 (m.åremål),4.0,56605,0,14062,6117,0,14001,7500,0,98285,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,"AC basisløntrin 4, 2-årigt",5.0,29692,0,6041,3820,0,0,1708,0,41262,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,AC basisløntrin 5,6.0,32001,0,6719,3820,1442,0,2569,0,46551,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,AC basisløntrin 6,4.0,34106,0,7395,4362,2704,0,2396,0,50963,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,LR 35 (u.åremål),7.9,46938,0,8986,0,1677,0,1324,0,58925,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,LR 36 (u.åremål),7.0,50522,0,10977,0,9129,0,1310,0,71938,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,LR 35 (u.åremål),46.0,46662,305,9750,1628,1492,2773,806,0,63415,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,LR 36 (u.åremål),40.6,50560,0,11390,1928,4256,4884,1355,0,74374,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,LR 36 (pers.ledelse u.åremål),3.8,53609,0,14078,0,9451,2043,657,0,79837,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,LR 37 (m.åremål),14.5,58667,0,15075,0,13295,10679,688,0,98404,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,LR 39 (m.åremål),6.0,82992,0,22221,5149,10112,24097,0,0,144570,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,"AC basisløntrin 4, 2-årigt",42.7,29569,0,6546,5565,1505,0,48,0,43234,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,AC basisløntrin 5,24.0,32001,0,7249,4233,3963,143,719,0,48307,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,AC basisløntrin 6,8.3,34106,0,8708,6440,4363,427,0,0,54045,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,AC basisløntrin 8,18.0,36181,0,8495,4981,5088,1330,0,0,56075,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
93 - Særligt aflønnede,Trin 0,16.0,22294,0,2432,0,0,0,0,0,24726,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Trin 1,3.6,32597,0,6853,3654,0,2985,0,0,46089,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Trin 3,4.5,19779,0,3086,17,0,0,0,0,22882,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Trin 4,5.6,20643,0,3046,113,0,0,177,0,23980,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Trin 5,6.9,22138,0,3258,62,0,0,0,0,25458,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,"Løngrp. 3, Hovedstad, Løntrin 1",7.9,31148,0,6160,725,4735,635,127,3,43533,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,"Løngrp. 3, Hovedstad, Løntrin 3",4.0,35746,0,7191,90,7337,531,208,26,51129,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,LR 35 (u.åremål),12.1,46938,0,8560,21,1892,0,152,0,57561,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,LR 36 (u.åremål),6.6,51208,0,10738,0,6413,634,190,0,69183,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,"AC basisløntrin 4, 2-årigt",18.0,29692,0,6065,3820,133,0,0,0,39711,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,AC basisløntrin 5,12.3,32001,0,6693,4068,1063,0,0,0,43825,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,AC basisløntrin 6,7.8,34106,0,7242,4494,1742,0,0,0,47584,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,AC basisløntrin 8,21.4,36089,102,7912,4601,2714,159,0,0,51577,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,"Løngrp. 3, Provins, Løntrin 1",14.9,29932,302,5453,0,2601,0,112,0,38401,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,"Løngrp. 2, Provins, Sats II",7.8,28662,0,4846,0,358,0,107,0,33973,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,LR 35 (u.åremål),7.0,46938,0,9437,0,3918,1106,238,0,61637,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
46 - Jurister/økonomer,LR 36 (u.åremål),5.0,50522,0,10844,0,8390,1168,583,0,71508,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
303 - Polititjenestemænd,Trin 1,11.0,42323,0,8924,12545,0,0,76,0,63868,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
22 - Civiløkonomer,LR 35 (u.åremål),7.0,47258,0,9324,176,2684,387,0,0,59828,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
22 - Civiløkonomer,LR 36 (u.åremål),9.0,51419,0,10371,1197,4599,0,571,4,68159,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
22 - Civiløkonomer,LR 36 (pers.ledelse u.åremål),8.0,53609,0,12344,68,12841,698,2153,0,81713,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
22 - Civiløkonomer,AC basisløntrin 7,4.0,34542,0,7784,4926,3625,405,208,0,51491,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
35 - Fysioterapeuter,AC basisløntrin 7,5.0,34542,0,8216,2362,7609,0,0,0,52730,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
36 - Bygningskonstruktør,AC basisløntrin 7,6.7,34543,0,8480,1576,10150,0,187,0,54935,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
38 - Bibliotekarer,LR 35 (u.åremål),6.0,47075,0,8915,0,1164,0,278,0,57432,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,LR 35 (u.åremål),16.3,47349,0,9518,49,2104,2032,237,70,61360,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,LR 36 (u.åremål),7.0,51674,0,11104,515,7690,922,1263,1,73170,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,LR 36 (pers.ledelse u.åremål),4.0,53609,0,12930,134,9348,0,0,0,76020,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,AC basisløntrin 8,4.8,36181,0,9163,2164,10240,1641,0,4,59394,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
43 - Arkitekter,LR 35 (u.åremål),4.8,46938,0,9759,0,5920,0,263,0,62880,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,LR 35 (u.åremål),48.7,47314,159,9934,123,5658,180,309,29,63705,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,LR 36 (u.åremål),35.8,50482,249,10822,160,7380,576,302,4,69974,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,LR 36 (pers.ledelse u.åremål),8.0,53609,0,12435,132,13977,0,1719,0,81871,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,"AC basisløntrin 4, 2-årigt",10.0,29692,0,7655,1146,10782,0,200,0,49476,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,AC basisløntrin 5,6.0,32001,0,8155,2547,10269,0,403,0,53374,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,AC basisløntrin 8,6.8,36180,0,8561,1578,8765,229,245,0,55558,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,LR 35 (u.åremål),449.3,47650,88,9559,19,3484,415,1193,28,62436,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,LR 36 (u.åremål),265.1,51009,218,10770,128,5914,1166,1609,24,70836,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,LR 36 (pers.ledelse m.åremål),13.0,53609,0,15256,0,13370,13276,1346,0,96858,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,LR 36 (pers.ledelse u.åremål),122.0,53609,0,12059,235,11213,332,1627,88,79163,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,LR 37 (m.åremål),43.0,58091,0,14737,15,8906,12534,2743,171,97196,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,LR 37 (u.åremål),5.0,57429,0,14681,2184,18649,2010,0,0,94953,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,LR 38 (m.åremål),10.0,64545,0,18417,0,17372,18945,375,0,119654,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,AC basisløntrin 1,17.5,27169,0,5652,3820,249,93,0,2,36985,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,"AC basisløntrin 4, 2-årigt",206.5,29681,13,6300,3808,632,583,305,53,41375,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,AC basisløntrin 5,96.1,31911,97,6859,3792,1362,673,663,135,45492,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,AC basisløntrin 6,115.9,34106,0,7477,4325,2253,928,1093,124,50306,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,AC basisløntrin 8,337.3,36181,0,8335,5005,3306,1311,1035,94,55267,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,LR 35 (u.åremål),146.5,47361,0,9262,56,2349,191,252,0,59471,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,LR 36 (u.åremål),117.4,50922,0,10317,41,4781,104,428,0,66595,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,LR 36 (pers.ledelse u.åremål),29.0,53609,0,11850,0,10819,56,474,208,77017,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,"AC basisløntrin 4, 2-årigt",28.5,29692,0,6570,3486,3155,0,111,28,43043,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,AC basisløntrin 5,25.0,32001,0,7218,3580,4311,62,260,0,47432,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,AC basisløntrin 6,19.0,34106,0,7711,3893,4606,170,259,0,50745,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,AC basisløntrin 8,67.2,36108,78,8252,3406,4708,196,307,0,53055,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
54 - Maskinmestre,Trin 1,5.9,36892,0,10387,0,19118,0,169,77,66643,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
60 - Journalister,Løntrin 7,26.5,34476,0,9872,244,17102,2117,289,0,64100,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
60 - Journalister,Trin 19,5.0,47386,0,9440,208,3759,0,307,0,61101,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
103 - Særligt aflønnede,Trin 0,150.2,37034,45,6051,2429,0,0,190,1013,46763,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
172 - Lærlinge og elever,Trin 1,4.0,19972,0,3461,0,0,0,0,29,23463,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
175 - Daktyloskopit. og måleoperatør,Trin 1,100.5,25418,0,5197,162,943,36,199,2520,34475,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
175 - Daktyloskopit. og måleoperatør,Trin 2,10.0,34621,0,7642,35,4064,1145,142,492,48140,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,"Hovedstad, Løntrin 1",34.7,30316,0,6971,56,9459,968,373,253,48395,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,"Provins, Løntrin 1",7.0,28951,0,7684,469,10080,932,60,278,48455,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
193 - Socialrådgivere,Trin 1,21.0,33869,0,8036,24,8006,113,365,255,50668,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
193 - Socialrådgivere,Løntrin 2,17.0,31881,0,7531,49,7261,73,176,307,47278,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,Trin 1,71.1,50120,842,10204,15820,278,92,4014,57,81429,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,Trin 5,55.2,30705,0,5480,388,2423,246,241,465,39949,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,Trin 6,79.4,32700,109,6138,710,4173,336,346,196,44707,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,Trin 7,27.8,35974,0,7335,1346,5819,1219,566,125,52384,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,Trin 8,23.0,38720,0,9292,908,12677,1311,985,178,64071,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),Trin 1,72.0,61614,0,13614,14266,6759,19390,598,304,116546,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
224 - Servicemedarbejdere,Trin 1,41.7,28113,0,5167,278,3748,760,194,424,38683,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
226 - Fagfotografer,Trin 2,4.0,29028,0,6253,298,8213,0,208,29,44030,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,"Løngruppe 2, Løntrin 3",8.8,30015,0,5850,24,5259,0,142,470,41761,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,"Løngruppe 2, Løntrin 4",13.0,31107,0,6368,112,7273,72,417,412,45761,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,"Løngruppe 2, Løntrin 5",89.8,32722,60,6580,230,6643,301,638,577,47751,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,"Løngruppe 3, Løntrin 1",194.7,34098,231,8046,222,14035,272,899,183,57987,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,"Løngruppe 4, Løntrin 1",50.0,35746,0,8863,123,17843,442,624,615,64256,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,Trin 1,69.6,23641,0,4053,18,401,224,22,95,28453,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,Trin 2,30.0,23287,0,3896,127,1060,1294,111,112,29887,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,Trin 3,49.6,19364,0,2997,199,0,0,0,102,22661,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,Trin 4,50.4,19799,0,3052,203,0,0,4,91,23148,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,Trin 5,31.6,20944,0,3126,314,0,0,36,183,24604,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,"Løngrp. 1, Hovedstad, Løntrin 2",12.9,24892,0,4688,416,2345,405,64,1249,34059,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,"Løngrp. 3, Hovedstad, Løntrin 1",613.9,31111,46,5669,146,2504,305,210,538,40529,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,"Løngrp. 3, Provins, Løntrin 1",372.3,30185,23,5431,242,808,430,229,350,37697,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,"Løngrp. 3, Hovedstad, Løntrin 2",227.5,32791,107,6460,193,5382,484,248,186,45850,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,"Løngrp. 3, Provins, Løntrin 2",120.5,32335,0,5861,343,1247,688,311,235,41020,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,"Løngrp. 3, Hovedstad, Løntrin 3",52.3,35506,360,7163,135,6832,707,357,280,51340,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,"Løngrp. 3, Provins, Løntrin 3",50.9,35746,0,6998,587,4681,202,144,289,48647,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,"Løngrp. 3, Hovedstad, Løntrin 4",26.6,38474,0,8874,101,15351,298,432,259,63790,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,"Løngrp. 3, Provins, Løntrin 4",25.6,38474,0,7961,41,9987,0,810,106,57379,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,"Løngrp. 2, Hovedstad, Sats I",13.8,27860,0,4835,221,459,285,36,565,34260,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,"Løngrp. 2, Provins, Sats I",16.0,26768,0,4710,32,1476,0,0,332,33317,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,"Løngrp. 2, Hovedstad, Sats II",184.2,29754,0,5183,242,810,133,110,857,37089,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,"Løngrp. 2, Provins, Sats II",490.3,28631,32,4931,118,467,143,170,484,34976,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
249 - Politikadetter,Trin 1,185.2,27480,0,4756,311,0,0,141,2766,35454,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
249 - Politikadetter,Trin 2,15.5,29095,0,5519,359,0,0,317,4164,39455,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,Trin 1,10679.4,34692,77,5851,2829,33,106,487,2629,46705,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,Trin 2,5.0,40224,0,8249,6989,0,500,1027,389,57377,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,LR 35 (u.åremål),58.7,48204,281,10261,0,6827,522,963,0,67058,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
46 - Jurister/økonomer,LR 36 (u.åremål),33.8,50865,0,11041,0,8517,731,979,20,72153,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
46 - Jurister/økonomer,LR 36 (pers.ledelse u.åremål),7.0,53609,0,13128,707,16997,239,1667,0,86348,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
46 - Jurister/økonomer,LR 37 (m.åremål),8.0,59570,0,15315,1646,7416,15024,2143,0,101113,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
46 - Jurister/økonomer,AC basisløntrin 8,57.5,36181,0,8851,5205,2193,4665,1051,51,58197,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
49 - Magistre,LR 36 (u.åremål),4.0,51867,0,11056,0,8224,0,0,0,71147,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
193 - Socialrådgivere,Trin 1,4.0,36026,0,8525,98,8541,0,208,0,53397,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
201 - Tjenestemænd,Trin 1,22.9,49934,236,10115,14304,2186,103,1037,0,77914,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
207 - Tjenestemænd (åremål),Trin 1,7.0,67504,0,14690,20087,4583,20438,298,0,127600,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
224 - Servicemedarbejdere,Trin 1,6.5,26412,0,5083,74,5678,308,127,9,37690,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
240 - Kontorfunktionærer,Trin 3,10.4,19193,0,3071,0,0,0,0,22,22286,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
240 - Kontorfunktionærer,Trin 4,6.0,21445,0,2955,0,0,0,0,26,24426,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
