Personalekategori,Klasse/Lønramme,Løntrin,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 35 (u.åremål),11.0,46938,0,9750,2082,3840,0,3352,0,65962,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 36 (u.åremål),17.9,50522,0,11329,1994,9076,0,4618,0,77539,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,"AC basisløntrin 4, 2-årigt",5.0,29692,0,6041,3820,0,0,1708,0,41262,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,AC basisløntrin 5,6.0,32001,0,6719,3820,1442,0,2569,0,46551,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,AC basisløntrin 6,4.0,34106,0,7395,4362,2704,0,2396,0,50963,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,LR 37 (m.åremål),4.0,56605,0,14062,6117,0,14001,7500,0,98285,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 35 (u.åremål),7.9,46938,0,8986,0,1677,0,1324,0,58925,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 36 (u.åremål),7.0,50522,0,10977,0,9129,0,1310,0,71938,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 35 (u.åremål),46.0,46662,305,9750,1628,1492,2773,806,0,63415,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 36 (u.åremål),40.6,50560,0,11390,1928,4256,4884,1355,0,74374,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 36 (pers.ledelse u.åremål),3.8,53609,0,14078,0,9451,2043,657,0,79837,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,"AC basisløntrin 4, 2-årigt",42.7,29569,0,6546,5565,1505,0,48,0,43234,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,AC basisløntrin 5,24.0,32001,0,7249,4233,3963,143,719,0,48307,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,AC basisløntrin 6,8.3,34106,0,8708,6440,4363,427,0,0,54045,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,AC basisløntrin 8,18.0,36181,0,8495,4981,5088,1330,0,0,56075,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,LR 37 (m.åremål),14.5,58667,0,15075,0,13295,10679,688,0,98404,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,LR 39 (m.åremål),6.0,82992,0,22221,5149,10112,24097,0,0,144570,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
93 - Særligt aflønnede,0 - Ingen klasse,Trin 0,16.0,22294,0,2432,0,0,0,0,0,24726,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,35 - Studerende             (HK),Trin 4,4.6,21268,0,3048,137,0,0,216,0,24669,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,35 - Studerende             (HK),Trin 5,6.9,22138,0,3258,62,0,0,0,0,25458,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,"Løngrp. 3, Hovedstad, Løntrin 1",7.9,31148,0,6160,725,4735,635,127,3,43533,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,"Løngrp. 3, Hovedstad, Løntrin 3",4.0,35746,0,7191,90,7337,531,208,26,51129,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 35 (u.åremål),12.1,46938,0,8560,21,1892,0,152,0,57561,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 36 (u.åremål),6.6,51208,0,10738,0,6413,634,190,0,69183,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,"AC basisløntrin 4, 2-årigt",18.0,29692,0,6065,3820,133,0,0,0,39711,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,AC basisløntrin 5,12.3,32001,0,6693,4068,1063,0,0,0,43825,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,AC basisløntrin 6,6.8,34106,0,7158,4282,1417,0,0,0,46963,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,AC basisløntrin 8,21.4,36089,102,7912,4601,2714,159,0,0,51577,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,77 - Løngruppe 3 - provins,"Løngrp. 3, Provins, Løntrin 1",14.9,29932,302,5453,0,2601,0,112,0,38401,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,89 - Løngruppe 2 - provins,"Løngrp. 2, Provins, Sats II",7.8,28662,0,4846,0,358,0,107,0,33973,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 35 (u.åremål),7.0,46938,0,9437,0,3918,1106,238,0,61637,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 36 (u.åremål),5.0,50522,0,10844,0,8390,1168,583,0,71508,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
303 - Polititjenestemænd,33 - Lønramme 33,Trin 1,10.0,41131,0,8683,12231,0,0,83,0,62129,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
22 - Civiløkonomer,56 - Civiløkonomer,LR 35 (u.åremål),7.0,47258,0,9324,176,2684,387,0,0,59828,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
22 - Civiløkonomer,56 - Civiløkonomer,LR 36 (u.åremål),9.0,51419,0,10371,1197,4599,0,571,4,68159,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
22 - Civiløkonomer,56 - Civiløkonomer,LR 36 (pers.ledelse u.åremål),8.0,53609,0,12344,68,12841,698,2153,0,81713,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
22 - Civiløkonomer,56 - Civiløkonomer,AC basisløntrin 7,4.0,34542,0,7784,4926,3625,405,208,0,51491,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
35 - Fysioterapeuter,51 - Fysioterapeuter,AC basisløntrin 7,5.0,34542,0,8216,2362,7609,0,0,0,52730,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
36 - Bygningskonstruktør,56 - Bygningskonstruktører,AC basisløntrin 7,6.7,34543,0,8480,1576,10150,0,187,0,54935,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
38 - Bibliotekarer,55 - Cand. Scient.bibl.,LR 35 (u.åremål),4.0,47144,0,9032,0,1746,0,208,0,58131,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,56 - Cand.mag.Cand.ling.merc m.fl,LR 35 (u.åremål),15.3,47376,0,9525,52,2108,2031,187,0,61278,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,56 - Cand.mag.Cand.ling.merc m.fl,LR 36 (u.åremål),7.0,51674,0,11104,515,7690,922,1263,1,73170,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,56 - Cand.mag.Cand.ling.merc m.fl,AC basisløntrin 8,4.8,36181,0,9163,2164,10240,1641,0,4,59394,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
43 - Arkitekter,54 - Arkitekter m.fl,LR 35 (u.åremål),4.8,46938,0,9759,0,5920,0,263,0,62880,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,74 - Civilingeniører m.fl,LR 35 (u.åremål),23.7,47332,328,9842,133,4661,0,262,0,62558,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,74 - Civilingeniører m.fl,LR 36 (u.åremål),22.8,50341,390,10894,170,7894,479,193,0,70360,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,74 - Civilingeniører m.fl,LR 36 (pers.ledelse u.åremål),4.0,53609,0,12549,0,14739,0,1458,0,82356,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,74 - Civilingeniører m.fl,"AC basisløntrin 4, 2-årigt",9.0,29692,0,7663,1273,10737,0,111,0,49477,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,79 - Diplomingeniører,LR 35 (u.åremål),18.0,47311,0,9893,26,6315,0,122,37,63704,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,79 - Diplomingeniører,LR 36 (u.åremål),6.0,50971,0,10850,82,6825,1070,347,0,70146,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,79 - Diplomingeniører,AC basisløntrin 5,4.0,32001,0,8216,2865,10389,0,604,0,54075,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 35 (u.åremål),441.3,47663,89,9563,20,3502,404,1210,29,62479,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 36 (u.åremål),258.1,51011,224,10787,128,5968,1197,1638,24,70978,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 36 (pers.ledelse m.åremål),13.0,53609,0,15256,0,13370,13276,1346,0,96858,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,LR 36 (pers.ledelse u.åremål),122.0,53609,0,12059,235,11213,332,1627,88,79163,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,"AC basisløntrin 4, 2-årigt",203.5,29680,13,6298,3805,610,592,304,54,41356,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,AC basisløntrin 5,94.1,31909,99,6861,3780,1364,687,664,138,45503,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,AC basisløntrin 6,113.9,34106,0,7467,4363,2162,940,1113,126,50276,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,AC basisløntrin 8,337.3,36181,0,8335,5005,3306,1311,1035,94,55267,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,84 - Bachelorer,LR 35 (u.åremål),7.0,46938,0,9410,0,2856,1188,286,0,60678,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,84 - Bachelorer,LR 36 (u.åremål),7.0,50907,0,10121,122,3936,0,536,0,65621,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,84 - Bachelorer,AC basisløntrin 1,17.5,27169,0,5652,3820,249,93,0,2,36985,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,LR 37 (m.åremål),43.0,58091,0,14737,15,8906,12534,2743,171,97196,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,LR 37 (u.åremål),5.0,57429,0,14681,2184,18649,2010,0,0,94953,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,LR 38 (m.åremål),10.0,64545,0,18417,0,17372,18945,375,0,119654,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,64 - Magistre,LR 35 (u.åremål),119.6,47197,0,9220,61,2232,197,242,0,59149,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,64 - Magistre,LR 36 (u.åremål),86.0,50947,0,10304,27,4677,74,424,0,66453,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,64 - Magistre,LR 36 (pers.ledelse u.åremål),28.0,53609,0,11842,0,10770,58,491,215,76986,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,64 - Magistre,"AC basisløntrin 4, 2-årigt",25.0,29692,0,6534,3384,3032,0,77,32,42751,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,64 - Magistre,AC basisløntrin 5,23.0,32001,0,7244,3535,4544,0,246,0,47570,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,64 - Magistre,AC basisløntrin 6,15.0,34106,0,7667,3744,4422,216,328,0,50483,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,64 - Magistre,AC basisløntrin 8,65.2,36106,81,8249,3419,4645,202,317,0,53019,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,65 - Psykologer,LR 35 (u.åremål),19.0,48353,0,9444,27,2787,0,268,0,60877,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,65 - Psykologer,LR 36 (u.åremål),20.5,50917,0,10154,123,3760,288,232,0,65474,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,84 - Bachelorer,LR 35 (u.åremål),7.8,47457,0,9449,56,3079,574,373,0,60989,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,84 - Bachelorer,LR 36 (u.åremål),10.9,50743,0,10727,0,7517,0,830,0,69817,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,84 - Bachelorer,AC basisløntrin 6,4.0,34106,0,7874,4450,5297,0,0,0,51728,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
54 - Maskinmestre,52 - Maskinmestre I Land,Trin 1,3.9,33426,0,9973,0,20266,0,256,35,63957,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
60 - Journalister,51 - Journalister,Løntrin 7,26.5,34476,0,9872,244,17102,2117,289,0,64100,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
103 - Særligt aflønnede,0 - Ingen klasse,Trin 0,150.2,37034,45,6051,2429,0,0,190,1013,46763,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
175 - Daktyloskopit. og måleoperatør,54 - Daktyloskopiteknikere,Trin 2,10.0,34621,0,7642,35,4064,1145,142,492,48140,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
175 - Daktyloskopit. og måleoperatør,55 - Måleoperatører ATK,Trin 1,98.5,25332,0,5157,165,807,37,193,2570,34262,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,56 - Håndværker Dansk Metal,"Provins, Løntrin 1",5.0,28951,0,7646,357,10677,1305,83,353,49373,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,57 - Håndværker Dansk Metal,"Hovedstad, Løntrin 1",27.3,30316,0,6910,46,8839,1230,379,303,48023,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,59 - Håndværker Dansk El-Forb,"Hovedstad, Løntrin 1",7.4,30316,0,7193,93,11744,0,351,70,49767,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
193 - Socialrådgivere,"57 - Socialrådgivere, basisstilling",Løntrin 2,17.0,31881,0,7531,49,7261,73,176,307,47278,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
193 - Socialrådgivere,58 - Konsulent og koord.soc.rådg.,Trin 1,20.0,33715,0,7999,25,7985,82,342,262,50411,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,36 - Tjenestemænd LR 36,Trin 1,46.3,48107,1294,9667,13817,427,142,4434,87,77975,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,37 - Tjenestemænd LR 37,Trin 1,24.0,54244,0,11308,20001,0,0,3341,0,88894,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,"96 - Kontortjenstemænd, Politiet",Trin 5,55.2,30705,0,5480,388,2423,246,241,465,39949,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,"96 - Kontortjenstemænd, Politiet",Trin 6,79.4,32700,109,6138,710,4173,336,346,196,44707,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,"96 - Kontortjenstemænd, Politiet",Trin 7,27.8,35974,0,7335,1346,5819,1219,566,125,52384,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,"96 - Kontortjenstemænd, Politiet",Trin 8,23.0,38720,0,9292,908,12677,1311,985,178,64071,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),37 - Tjm. LR 37,Trin 1,17.0,54244,0,11355,12068,2154,11985,1322,830,93957,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),38 - Tjm. Lr 38,Trin 1,36.0,61720,0,13396,17104,1382,20943,126,90,114762,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),39 - Tjm. Lr 39,Trin 1,13.0,67766,0,15773,10480,20504,24522,321,3,139369,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
224 - Servicemedarbejdere,52 - Serviceteknikere,Trin 1,33.9,28746,0,5234,316,3567,936,239,411,39448,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
224 - Servicemedarbejdere,53 - Servicemedarbejdere,Trin 1,7.9,25384,0,4878,114,4525,0,0,483,35384,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
226 - Fagfotografer,56 - Fotografer,Trin 2,4.0,29028,0,6253,298,8213,0,208,29,44030,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,51 - IT-medarbejdere - løngruppe 2,"Løngruppe 2, Løntrin 3",8.8,30015,0,5850,24,5259,0,142,470,41761,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,51 - IT-medarbejdere - løngruppe 2,"Løngruppe 2, Løntrin 4",13.0,31107,0,6368,112,7273,72,417,412,45761,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,51 - IT-medarbejdere - løngruppe 2,"Løngruppe 2, Løntrin 5",89.8,32722,60,6580,230,6643,301,638,577,47751,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,55 - IT-medarbejdere - løngruppe 3,"Løngruppe 3, Løntrin 1",194.7,34098,231,8046,222,14035,272,899,183,57987,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,56 - IT-medarbejdere - løngruppe 4,"Løngruppe 4, Løntrin 1",50.0,35746,0,8863,123,17843,442,624,615,64256,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,35 - Studerende             (HK),Trin 1,8.6,20402,0,3098,83,0,0,0,356,23939,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,35 - Studerende             (HK),Trin 2,28.0,20373,0,3024,136,0,0,0,117,23649,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,35 - Studerende             (HK),Trin 3,35.6,20509,0,3062,277,0,0,0,132,23980,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,35 - Studerende             (HK),Trin 4,35.4,20670,0,3059,288,0,0,6,80,24102,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,35 - Studerende             (HK),Trin 5,31.6,20944,0,3126,314,0,0,36,183,24604,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,70 - Løngrp1:Hovedst u.erhv.udd.,"Løngrp. 1, Hovedstad, Løntrin 2",12.9,24892,0,4688,416,2345,405,64,1249,34059,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,"Løngrp. 3, Hovedstad, Løntrin 1",613.9,31111,46,5669,146,2504,305,210,538,40529,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,"Løngrp. 3, Hovedstad, Løntrin 2",227.5,32791,107,6460,193,5382,484,248,186,45850,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,"Løngrp. 3, Hovedstad, Løntrin 3",52.3,35506,360,7163,135,6832,707,357,280,51340,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
