Stilling,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
Chefkonsulent,16.9,50522,0,11054,2112,7432,0,4892,0,76012,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
Fuldmægtig,17.0,32309,0,6853,4144,1654,0,2230,0,47191,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
Kontorchef,5.0,56604,0,13865,5197,0,13832,7667,0,97166,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
Kontorfunktionær,7.5,28408,0,5399,0,4301,0,1442,1,39551,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
Specialkonsulent,14.0,46938,0,9845,2097,4370,0,3467,0,66717,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
Studentermedhjælper,3.3,21177,0,3054,229,0,0,0,154,24614,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
Chefkonsulent,7.0,50522,0,10977,0,9129,0,1310,0,71938,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
Fuldmægtig,6.0,32630,0,7049,4091,2356,0,694,0,46821,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
Specialkonsulent,7.9,46938,0,8986,0,1677,0,1324,0,58925,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
'-,17.0,22280,0,2566,237,245,0,0,0,25327,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Afdelingschef,6.0,82992,0,22221,5149,10112,24097,0,0,144570,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Chefkons. m. personaleledelse,3.5,53609,0,11988,0,9361,2223,714,0,77895,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Chefkonsulent,42.9,50548,0,11542,1873,4495,4955,1458,0,74871,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Fuldmægtig,96.4,31850,0,7273,5155,3031,321,286,0,47917,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Kontorchef,17.5,59476,0,15375,752,12871,11209,570,0,100254,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Kontorelev,5.0,19406,0,3303,0,0,0,0,0,22709,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Kontorfuldmægtig,13.9,32325,0,6430,411,5690,514,72,10,45452,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Specialkonsulent,50.0,46684,281,9762,1665,1524,2776,741,0,63433,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Studentermedhjælper,16.3,21692,0,3167,58,0,0,61,0,24978,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
Fuldmægtig,58.5,33030,37,7000,4212,1422,58,0,0,45758,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
Kontorchef,4.0,56015,0,13252,5153,13663,0,0,0,88082,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
Kontorfunktionær,24.3,29402,185,5221,11,1773,0,112,0,36704,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
Souschef,4.0,51007,0,10732,0,6246,1041,313,0,69338,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
Specialkonsulent,12.1,46938,0,8560,21,1892,0,152,0,57561,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
Studentermedhjælper,3.4,20131,0,3080,94,0,0,0,0,23306,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
Chefkonsulent,4.0,50522,0,10982,0,9156,1460,417,0,72536,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
Fuldmægtig,10.6,33698,0,6883,3509,1196,369,142,0,45796,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
Kontorfuldmægtig,4.6,31501,0,5662,0,2549,0,487,0,40199,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
Seniorefterforsker,9.0,41131,0,8679,12236,0,0,93,0,62139,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
Specialkonsulent,6.0,47535,0,9529,0,3786,966,319,0,62136,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
Advokaturchef,48.0,56079,0,12550,8627,3715,8197,3329,14,92509,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Afdelingschef,20.0,61445,0,16117,4820,12704,16086,688,125,111984,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Afdelingsleder,20.0,48545,0,11646,4333,11496,675,1663,86,78443,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Afsnitsleder,5.0,42041,0,9665,84,12819,1066,583,46,66304,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Analytiker,69.4,36969,144,8109,3267,4148,318,246,19,53220,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Anklager,194.1,36667,0,8154,4386,1929,2023,1551,167,54877,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Anklagerfuldmægtig,250.1,31557,0,6752,4093,225,1190,528,130,44475,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Applikationstekniker,4.0,37418,0,8488,4160,9186,0,7234,842,67329,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Assistent,27.8,27271,0,4745,128,844,141,18,471,33619,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Bachelor,7.1,29334,0,6418,4126,2193,0,353,0,42424,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Bilinspektør (C.ing),6.0,47311,0,10301,76,8523,0,139,111,66461,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Bygningskonstruktør,11.0,34888,0,7960,1626,6922,0,205,2,51601,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Centerchef,60.0,54331,0,13653,4094,11397,7465,1192,800,92931,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Chefanklager,14.0,61568,0,14274,11451,4309,20094,594,116,112406,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Chefkonsulent,385.2,50367,171,10389,930,4984,376,556,44,67815,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Chefpolitiinspektør,14.0,61186,0,14078,18745,1487,20183,387,126,116192,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Controller,5.0,35857,0,7587,3361,2357,324,0,0,49486,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Daktyloskopitekniker,12.0,33796,0,7562,29,4656,954,201,416,47614,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
EDB-medarbejder,4.0,33274,0,6983,1094,11217,0,2325,271,55165,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
EFG-elev,4.0,19972,0,3461,0,0,0,0,29,23463,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Ejendomsservicemedarbejder,3.8,27148,0,5286,74,6631,0,219,63,39420,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Ejendomsservicetekniker,27.9,28745,0,5219,357,3226,1138,200,496,39381,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Elektriker,4.4,30006,0,7271,0,12624,0,306,126,50334,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Elektroniktekniker,5.0,30043,0,7032,76,11051,0,167,21,48389,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Elev,90.0,21212,0,3598,6,15,37,17,77,24961,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Faglærer,8.9,35948,0,8222,0,8447,0,234,0,52851,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Fotograf,4.0,29028,0,6253,298,8213,0,208,29,44030,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Fuldmægtig,326.8,32981,22,7330,4187,3138,81,232,3,47973,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Fysioterapeut,6.0,33734,0,7952,1969,7328,0,0,0,50983,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Håndværker,9.3,30021,0,7595,353,8013,2639,108,428,49157,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Informationsspecialist,6.5,35995,0,9006,921,12190,0,357,0,58470,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Ingeniør,7.1,39402,1249,9369,0,9464,674,420,0,60578,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
IT Sikkerhedsspecialist,10.0,34100,0,8830,479,19173,198,660,134,63575,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
IT-driftsmedarbejder,15.0,34050,0,7833,635,12444,587,737,158,56445,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
IT-Ingeniør,7.0,40640,0,9438,892,7157,0,207,0,58334,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
IT-Konsulent,32.9,34360,225,8015,46,12759,290,967,219,56880,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
IT-Medarbejder,82.8,33541,41,7080,114,8839,473,513,199,50798,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
IT-specialist,92.0,34401,316,8232,114,14431,214,892,141,58742,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
IT-Supporter,52.1,32857,103,6423,429,4929,302,423,920,46386,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
IT-sys.medarb. HK,25.1,33705,283,7486,209,10286,204,539,301,53013,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
IT-Systemarkitekt,7.0,34459,0,9277,68,21743,471,737,203,66959,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
IT-Udvikler,15.6,34284,0,7913,326,13224,0,117,23,55887,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Journalist,5.0,33631,0,8841,208,12535,1663,0,0,56879,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Juridisk Konsulent,12.1,33994,0,7567,4778,1843,0,470,0,48651,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Kommunikationschef,5.0,46555,0,13175,83,18666,6592,533,0,85604,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Kommunikationskonsulent,15.0,37707,0,9148,1053,10763,754,344,0,59769,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Kommunikationsrådgiver,9.4,37851,0,10628,943,12443,2767,71,0,64703,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Konsulent,744.8,36773,182,6671,1705,2708,228,468,796,49531,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Kontorassistent,14.9,24892,0,4620,360,2031,351,56,1081,33391,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Kontorfuldmægtig,1336.2,31298,35,5672,229,1922,407,244,408,40215,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Kriminalassistent,14.8,35525,0,6071,2752,0,196,427,1617,46587,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Kriminalassistent-1,99.1,37550,0,6412,2990,61,341,624,1054,49033,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Maskinmester,3.9,33426,0,9973,0,20266,0,256,35,63957,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Mekaniker,5.0,29770,0,6860,0,8103,2263,450,251,47697,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Netværksadministra.,12.1,34113,446,8235,395,14599,692,789,146,59415,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Operatør,140.3,26997,0,4793,464,567,26,175,2845,35866,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Overassistent,676.5,28937,23,4999,152,562,140,153,584,35550,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Oversætter,5.5,41941,0,9816,146,7482,3557,16,3,62962,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Politiassistent,5515.0,33897,93,5790,3147,42,131,478,2626,46203,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Politiassistent-1,700.1,37381,61,6498,3175,30,126,439,2206,49917,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Politibetjent,2505.6,30546,23,4656,438,12,33,136,2985,38828,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Politidirektør,14.0,68053,0,16217,8302,20788,24234,28,3,137625,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Politiinspektør,60.0,54158,0,11487,17075,0,348,3005,9488,95560,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Politikadet,200.7,27605,0,4815,314,0,0,155,2874,35763,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Politikommissær,752.1,41109,24,7407,5316,9,82,1016,2794,57758,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Projektleder,15.7,41598,0,9693,1003,10216,578,478,8,63573,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Psykolog,15.6,46662,0,9571,1067,4214,203,341,0,62057,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Sagsbehandler,3.5,31215,0,4859,3857,0,0,289,56,40277,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Sekretariatschef,11.0,55720,0,13437,4877,6291,7124,1462,1226,90137,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Sektionsleder,207.0,47925,0,10619,1144,10832,262,1164,252,72197,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Senioranklager,100.4,42799,132,9741,3677,6298,651,2977,115,66389,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Servicemedarbejder,7.0,26339,0,5008,127,4324,0,118,515,36431,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Socialrådgiver,29.0,32897,0,7779,29,7586,99,224,210,48825,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Software-Udvikler,4.0,33842,0,8368,1196,15161,0,208,12,58788,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Specialanklager,179.2,49451,515,10747,2218,6744,1444,4155,81,75355,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Specialkonsulent,992.0,44207,94,8145,1551,1341,223,561,477,56600,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Stabschef,11.0,64083,0,14606,12138,4942,20566,0,0,116334,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Studerende,139.2,20615,0,3070,248,0,0,10,141,24084,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Tekniker,12.0,33837,0,7678,345,8618,260,104,133,50975,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Udviklingskonsulent,9.6,41842,0,8335,1228,2280,236,156,0,54077,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Underviser,15.0,38871,0,8365,638,5819,0,389,0,54083,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Vicepolitiinspektør,141.0,45909,0,8745,9172,310,0,1588,5053,70778,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Våbenmekaniker,8.0,30316,0,6821,0,9046,537,417,241,47378,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Våbentekniker,4.0,31433,0,5614,4510,0,0,0,213,41771,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Økonomichef,10.0,54075,0,13403,0,14237,1724,1042,0,84480,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
Anklager,53.8,36581,0,8780,5002,1668,4985,1012,55,58082,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Assistent,4.0,27860,0,5107,0,2821,0,0,0,35788,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Chefkonsulent,26.7,52253,0,11639,186,10521,340,968,0,75907,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Ejendomsservicemedarbejder,4.5,25384,0,4964,106,5733,420,0,5,36612,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Elev,5.0,17796,0,3045,0,0,0,0,2,20844,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Fuldmægtig,3.3,32928,0,7338,3863,3882,0,0,0,48009,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
IT-Medarbejder,5.0,33656,0,7716,0,13145,189,250,3,54960,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Kontorfuldmægtig,50.6,32122,0,5970,89,3341,491,534,22,42570,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Læge,4.8,50909,0,14537,45,23763,3546,0,0,92800,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Overassistent,9.3,29658,0,5238,53,1617,164,224,13,36967,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Psykolog,4.1,36194,0,9317,74,14054,0,404,0,60043,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Senioranklager,28.5,46036,190,10034,2153,5747,435,914,0,65508,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Socialrådgiver,4.0,36026,0,8525,98,8541,0,208,0,53397,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Specialanklager,64.2,49187,257,10493,3328,6913,594,1052,10,71835,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Specialkonsulent,8.5,47602,0,9322,0,2932,68,977,0,60901,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Statsadvokat,5.0,70811,0,15806,14566,6448,21287,0,0,128918,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Studerende,22.1,21293,0,3118,7,0,0,0,26,24444,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Vicestatsadvokat,13.0,58021,0,14135,8798,5124,11932,1703,0,99713,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
Afdelingslæge,12.5,49116,0,12703,2897,16877,856,67,0,82515,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Akademiker,12.9,34525,0,7769,0,7080,282,0,40,49696,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Chefkons. m. personaleledelse,23.0,53609,0,11066,82,6402,48,851,0,72058,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Chefkonsulent,19.8,50391,354,10298,690,3957,362,290,0,66342,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Ejendomsservicemedarbejder,18.0,25944,0,4894,244,4810,375,176,55,36499,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Elektriker,4.0,29634,0,5948,1456,4454,963,0,17,42471,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Enhedschef,108.3,39764,0,6927,4215,5690,803,320,229,57947,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Enhedsleder,172.3,37214,34,6525,1561,3679,521,277,466,50277,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Erhvervsuddannelseskoordinator,7.8,31091,0,7394,4769,4200,0,214,90,47759,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Ernæringsassistent,4.9,26126,0,5919,0,3988,556,0,560,37149,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Faglærer,19.5,32223,0,7406,406,6016,496,38,14,46600,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Forsorgsassistent,309.3,31736,114,6828,1610,3551,225,134,606,44804,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Fuldmægtig,116.2,33741,51,7345,4323,2531,354,151,0,48496,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Fængselsbetjent,1914.0,27567,16,4438,3114,1732,881,174,3306,41227,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Fængselsinspektør,4.0,59851,0,12531,23806,963,0,313,8,97472,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Fængselslærer,75.4,34127,154,7672,2277,3061,170,133,22,47616,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Fængselspræst,5.0,38916,0,7719,4628,2977,0,300,0,54541,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Fængselssygepl.,80.1,34964,0,7203,113,1779,513,118,576,45266,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Håndværker,11.3,29092,0,6210,64,6875,206,0,19,42466,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Institutionschef,13.0,58966,0,13524,13447,1640,8649,737,0,96963,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Institutionsmedarbejde,57.1,25346,0,4575,1827,1932,321,146,3393,37541,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
Kok,6.0,28215,0,5277,43,5600,0,292,262,39689,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
