Personalekategori,Klasse/Lønramme,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,46.1,42972,0,9493,2796,5103,0,3573,0,63937,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,7.0,67914,0,16764,7023,0,16739,8750,0,117189,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
240 - Kontorfunktionærer,35 - Studerende             (HK),3.3,21177,0,3054,229,0,0,0,154,24614,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
240 - Kontorfunktionærer,70 - Løngrp1:Hovedst u.erhv.udd.,3.5,24300,0,4048,0,191,0,237,2,28779,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,4.0,32014,0,6586,0,7909,0,2500,0,49010,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,21.9,44464,0,9241,1718,4172,0,1201,0,60795,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,4.0,63202,0,16602,21723,0,5853,2500,0,109879,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,183.4,40176,77,8960,3465,3078,1988,621,0,58364,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,21.5,66103,0,17310,1435,12685,14840,464,0,112837,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
49 - Magistre,64 - Magistre,5.0,44923,0,11577,1597,7359,9327,0,0,74782,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
93 - Særligt aflønnede,0 - Ingen klasse,16.0,22294,0,2432,0,0,0,0,0,24726,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,35 - Studerende             (HK),17.3,21678,0,3162,66,0,0,58,0,24964,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,14.9,32735,0,6542,428,5999,479,179,9,46371,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,77.1,36757,28,7562,3196,1920,98,40,0,49603,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,35 - Studerende             (HK),3.4,20131,0,3080,94,0,0,0,0,23306,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,77 - Løngruppe 3 - provins,17.8,30329,253,5584,15,3057,0,152,0,39390,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,89 - Løngruppe 2 - provins,8.4,28517,0,4819,0,330,0,99,0,33764,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,20.6,41612,0,8550,1557,3606,755,296,0,56376,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
240 - Kontorfunktionærer,77 - Løngruppe 3 - provins,5.6,31271,0,5689,0,2966,0,400,0,40326,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
303 - Polititjenestemænd,33 - Lønramme 33,10.0,41131,0,8683,12231,0,0,83,0,62129,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
22 - Civiløkonomer,56 - Civiløkonomer,29.0,47942,0,10211,1244,6419,342,800,1,66958,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
35 - Fysioterapeuter,51 - Fysioterapeuter,7.5,35362,0,8371,1878,6268,0,0,0,51880,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
36 - Bygningskonstruktør,56 - Bygningskonstruktører,12.7,34842,0,8256,1433,8734,0,276,1,53542,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
38 - Bibliotekarer,55 - Cand. Scient.bibl.,8.0,47762,0,9852,1555,4086,250,573,0,64078,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
38 - Bibliotekarer,66 - Bibliotekarer,3.9,44946,0,8826,0,2361,417,213,0,56762,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,56 - Cand.mag.Cand.ling.merc m.fl,30.1,47228,0,10194,489,5288,1509,389,1,65097,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
43 - Arkitekter,54 - Arkitekter m.fl,6.8,45259,0,9333,565,4866,0,518,0,60541,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,72 - Akademiingeniører m.fl,8.0,47771,0,10879,53,8319,2978,603,7,70611,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,74 - Civilingeniører m.fl,64.5,45602,258,10046,346,7690,369,270,0,64581,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,76 - Teknikumingeniører,9.0,50606,0,11301,479,8852,1508,678,80,73504,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,79 - Diplomingeniører,34.8,44200,0,9637,730,7331,185,353,19,62454,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,1583.3,42046,69,9009,2138,3942,906,1120,63,59294,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,84 - Bachelorer,38.5,35878,0,7388,2411,1960,271,214,1,48124,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,61.0,60319,0,15655,189,11130,13273,1995,120,102682,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,64 - Magistre,362.9,43894,14,9148,1253,4237,170,309,19,59046,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,65 - Psykologer,45.5,47957,0,9609,461,3360,419,271,0,62077,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,84 - Bachelorer,30.9,42631,0,9060,1527,5178,145,454,0,58995,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
54 - Maskinmestre,52 - Maskinmestre I Land,3.9,33426,0,9973,0,20266,0,256,35,63957,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
60 - Journalister,51 - Journalister,34.5,36517,0,9819,236,15219,1627,283,0,63702,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
60 - Journalister,58 - Bachelorer,7.0,38935,0,8716,281,6945,1188,95,0,56160,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
103 - Særligt aflønnede,0 - Ingen klasse,150.2,37034,45,6051,2429,0,0,190,1013,46763,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
175 - Daktyloskopit. og måleoperatør,54 - Daktyloskopiteknikere,12.0,33796,0,7562,29,4656,954,201,416,47614,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
175 - Daktyloskopit. og måleoperatør,55 - Måleoperatører ATK,98.5,25332,0,5157,165,807,37,193,2570,34262,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,56 - Håndværker Dansk Metal,5.0,28951,0,7646,357,10677,1305,83,353,49373,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,57 - Håndværker Dansk Metal,27.3,30316,0,6910,46,8839,1230,379,303,48023,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,59 - Håndværker Dansk El-Forb,7.4,30316,0,7193,93,11744,0,351,70,49767,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
193 - Socialrådgivere,"57 - Socialrådgivere, basisstilling",17.0,31881,0,7531,49,7261,73,176,307,47278,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
193 - Socialrådgivere,58 - Konsulent og koord.soc.rådg.,20.0,33715,0,7999,25,7985,82,342,262,50411,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,36 - Tjenestemænd LR 36,46.3,48107,1294,9667,13817,427,142,4434,87,77975,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,37 - Tjenestemænd LR 37,24.0,54244,0,11308,20001,0,0,3341,0,88894,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,"96 - Kontortjenstemænd, Politiet",186.3,33322,47,6503,732,4933,559,425,262,46783,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),37 - Tjm. LR 37,17.0,54244,0,11355,12068,2154,11985,1322,830,93957,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),38 - Tjm. Lr 38,36.0,61720,0,13396,17104,1382,20943,126,90,114762,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),39 - Tjm. Lr 39,13.0,67766,0,15773,10480,20504,24522,321,3,139369,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
224 - Servicemedarbejdere,52 - Serviceteknikere,33.9,28746,0,5234,316,3567,936,239,411,39448,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
224 - Servicemedarbejdere,53 - Servicemedarbejdere,7.9,25384,0,4878,114,4525,0,0,483,35384,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
226 - Fagfotografer,56 - Fotografer,4.0,29028,0,6253,298,8213,0,208,29,44030,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,51 - IT-medarbejdere - løngruppe 2,112.6,32276,48,6489,198,6604,249,568,545,46977,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,55 - IT-medarbejdere - løngruppe 3,194.7,34098,231,8046,222,14035,272,899,183,57987,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,56 - IT-medarbejdere - løngruppe 4,50.0,35746,0,8863,123,17843,442,624,615,64256,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,35 - Studerende             (HK),139.2,20615,0,3070,248,0,0,10,141,24084,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,70 - Løngrp1:Hovedst u.erhv.udd.,12.9,24892,0,4688,416,2345,405,64,1249,34059,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,920.4,31989,78,6042,156,3833,372,234,428,43132,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,77 - Løngruppe 3 - provins,569.2,31510,15,5776,285,1660,445,265,309,40265,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,82 - Elever i provinsen,12.0,16988,0,2916,0,0,0,0,94,19999,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,83 - Elever i hovedstaden,17.0,17211,0,2952,0,0,0,0,57,20220,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,84 - Voksenelever I Provinsen,26.0,23194,0,3932,20,0,127,32,30,27334,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,85 - Voksenelever i Hovedstaden,29.0,23194,0,3917,0,47,0,23,76,27256,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,86 - Elever i provinsen / forl. tid,4.0,23535,0,3992,0,0,0,0,128,27655,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,88 - Løngruppe 2 - hovedstad,198.0,29622,0,5159,241,785,144,105,837,36892,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
240 - Kontorfunktionærer,89 - Løngruppe 2 - provins,506.3,28572,31,4924,115,499,138,164,480,34924,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
249 - Politikadetter,53 - Politikadetter,200.7,27605,0,4815,314,0,0,155,2874,35763,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,1 - Løngruppe 1,455.6,29218,0,4222,44,0,0,2,1210,34696,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,"2 - Løngruppe 2, sats 1",2049.0,30840,28,4750,517,15,40,166,3381,39736,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,"3 - Løngruppe 2, sats 2",2433.5,32734,74,5262,1368,43,105,425,3129,43140,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,"4 - Løngruppe 2, sats 3",1614.5,34201,120,6051,4419,39,151,532,2323,47834,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,"5 - Løngruppe 2, sats 3a",1440.5,35310,100,6371,4776,44,152,509,2169,49431,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,"6 - løngruppe 2, sats 4",10.0,37647,0,7281,8006,0,0,67,201,53202,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,"7 - Løngruppe 2, sats 4a",613.6,37596,55,6439,2981,39,124,482,2054,49771,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,"8 - Løngruppe 2, sats 4b",4.0,36487,0,6211,4325,0,0,313,1068,48403,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,"9 - Løngruppe 2, sats 4c",203.2,37632,17,6572,3045,24,246,399,1913,49848,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,"10 - Løngruppe 3, sats 1",10.0,37647,0,6658,5771,0,635,458,1344,52515,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,"12 - Løngruppe 3, sats 1b",5.4,38483,0,6976,6454,0,69,3186,412,55580,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,"13 - Løngruppe 3, sats 2",363.0,39113,258,6551,2460,41,134,676,1413,50645,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,"15 - Løngruppe 3, sats 3",474.8,40967,181,6939,3094,2,198,769,983,53132,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,"17 - Løngruppe 3, sats 4",20.2,40525,749,8008,8325,0,0,708,800,59116,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,32 - Lønramme 32,5.0,40224,0,8249,6989,0,500,1027,389,57377,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,33 - Lønramme 33,758.1,41109,24,7408,5320,9,82,1013,2772,57737,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,35 - Lønramme 35,156.0,45909,0,8754,9185,280,0,1592,4701,70422,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,36 - Lønramme 36,9.0,49111,0,10845,17241,0,0,2367,4875,84438,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
303 - Polititjenestemænd,37 - Lønramme 37,58.0,54244,0,11504,17112,0,0,3039,9624,95522,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,162.0,44212,102,9941,2002,5836,2007,1014,22,65135,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,12.0,63029,0,16400,1097,10305,15229,1637,0,107697,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
49 - Magistre,65 - Psykologer,5.1,39516,0,9600,60,12340,0,325,0,61842,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
127 - Tjenestemænd,"54 - Kontortjenstemænd, Anklagemynd",6.0,34200,0,6831,191,6105,1839,694,20,49880,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
201 - Tjenestemænd,36 - Tjenestemænd LR 36,19.9,48911,271,9477,13913,0,118,1026,0,73716,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
207 - Tjenestemænd (åremål),39 - Tjm. Lr 39,4.0,67766,0,14484,18208,5678,20826,0,0,126961,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
224 - Servicemedarbejdere,53 - Servicemedarbejdere,4.5,25384,0,4964,106,5733,420,0,5,36612,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
240 - Kontorfunktionærer,35 - Studerende             (HK),22.1,21293,0,3118,7,0,0,0,26,24444,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
240 - Kontorfunktionærer,76 - Løngruppe 3 - hovedstad,32.4,31926,0,6027,104,3875,573,624,22,43152,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
240 - Kontorfunktionærer,77 - Løngruppe 3 - provins,14.3,32582,0,5926,0,2363,114,420,20,41425,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
240 - Kontorfunktionærer,88 - Løngruppe 2 - hovedstad,12.5,29147,0,5222,39,2108,122,167,10,36814,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.04 - Den Centrale Anklagemyndighed,Andet
23 - Hjælpepræster,53 - Hjælpepræster,3.5,36180,0,8217,4527,4775,0,238,0,53938,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
46 - Jurister/økonomer,65 - Jurister og Økonomer m.fl,164.5,41210,43,8683,2315,3137,328,255,1,55972,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
46 - Jurister/økonomer,90 - Kontraktansatte Chefer,16.0,58474,0,14905,10312,2699,11091,313,0,97793,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
49 - Magistre,64 - Magistre,44.4,39464,133,8352,1804,4186,162,113,9,54223,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
49 - Magistre,65 - Psykologer,22.1,40521,366,9412,232,9693,207,170,0,60601,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
49 - Magistre,84 - Bachelorer,4.0,35340,0,7292,955,3256,0,271,0,47113,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
67 - Læger i Staten,52 - Afdelingslæger,12.5,49116,0,12703,2897,16877,856,67,0,82515,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
67 - Læger i Staten,55 - Læger,4.7,34978,0,9126,0,14365,0,0,0,58469,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
93 - Særligt aflønnede,0 - Ingen klasse,6.4,37026,0,6628,3528,259,0,194,27,47661,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
103 - Særligt aflønnede,0 - Ingen klasse,31.8,38340,0,7679,6969,2331,52,198,106,55675,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
121 - Speciallæger,3 - Speciallægekonsulenter,3.4,72577,0,1796,0,3385,0,0,0,77758,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
127 - Tjenestemænd,65 - Tjenstemænd Kriminalforsorgen,2041.8,29942,15,4857,3772,2492,1002,215,2815,45109,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
135 - Institutiionsmedarbejdere,51 - Institutionsmedarb. hovedstad,19.0,26307,0,4836,1977,2854,33,175,3647,39829,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
135 - Institutiionsmedarbejdere,52 - Institutionsmedarb. provinsen,38.1,24866,0,4445,1753,1471,465,131,3267,36398,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
137 - Pædagogiske assistenter,51 - Pædagogiske assistenter,65.5,27253,0,6857,1942,5986,382,165,1871,44457,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
138 - Transportbetjente,52 - Transportbetjente,183.1,25459,0,4160,1299,546,103,95,291,31953,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
143 - Vejledere,"52 - Vejledere, Kriminalforsorgen",14.1,33979,419,7618,2256,2866,236,59,5,47438,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
151 - Fængselslærere m.fl.,51 - Fængselslærere,81.4,34209,143,7734,2275,3218,184,146,22,47931,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
151 - Fængselslærere m.fl.,52 - Faglærere,20.5,32231,0,7410,484,5947,472,37,13,46593,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
151 - Fængselslærere m.fl.,53 - Souschefer,5.1,34532,1142,8651,1459,9104,0,357,9,55254,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
152 - Fængselsbetjente og værkmestre,51 - Pens. fængsel og værkmestre,31.2,32034,0,5461,0,0,0,112,1796,39402,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
179 - Håndværkere og Teknikere,58 - Håndværker Dansk El-Forb,8.3,28979,0,6173,632,6561,604,0,28,42977,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
193 - Socialrådgivere,"57 - Socialrådgivere, basisstilling",513.5,31716,91,6895,1104,3554,332,132,541,44365,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
193 - Socialrådgivere,58 - Konsulent og koord.soc.rådg.,39.9,34390,202,7885,7,6163,464,83,13,49208,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
193 - Socialrådgivere,59 - Ledende Socialrådgivere,38.0,37343,0,9094,381,8764,457,294,18,56350,"2026, 1. kvt.",§11 - Justitsministeriet,§11.31.01 - Kriminalforsorgen,Andet
