Personalekategori,Stilling,Årsværk,Basisløn,Plustid,Pension,Faste/midl. tillæg (Centrale),Faste tillæg (Lokale),Midlert. tillæg (Lokale),Engangs-vederlag,Andre tillæg,Samlet løn,Periode,Ministerområde,Hovedkonto,Type
46 - Jurister/økonomer,Chefkonsulent,16.9,50522,0,11054,2112,7432,0,4892,0,76012,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,17.0,32309,0,6853,4144,1654,0,2230,0,47191,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Kontorchef,4.0,56605,0,14062,6117,0,14001,7500,0,98285,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Specialkonsulent,11.0,46938,0,9750,2082,3840,0,3352,0,65962,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Kontorfunktionær,7.5,28408,0,5399,0,4301,0,1442,1,39551,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Studentermedhjælper,3.3,21177,0,3054,229,0,0,0,154,24614,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.01 - Departementet,Departement
46 - Jurister/økonomer,Chefkonsulent,7.0,50522,0,10977,0,9129,0,1310,0,71938,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,Fuldmægtig,6.0,32630,0,7049,4091,2356,0,694,0,46821,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,Specialkonsulent,7.9,46938,0,8986,0,1677,0,1324,0,58925,"2026, 1. kvt.",§10 - Økonomiministeriet,§10.11.09 - De Økonomiske Råd,Andet
46 - Jurister/økonomer,Afdelingschef,6.0,82992,0,22221,5149,10112,24097,0,0,144570,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Chefkons. m. personaleledelse,3.5,53609,0,11988,0,9361,2223,714,0,77895,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Chefkonsulent,40.9,50583,0,11589,1914,4302,4847,1345,0,74581,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,93.0,31857,0,7285,5186,3044,333,208,0,47914,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Kontorchef,14.5,58667,0,15075,0,13295,10679,688,0,98404,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Specialkonsulent,46.0,46662,305,9750,1628,1492,2773,806,0,63415,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
93 - Særligt aflønnede,'-,15.0,21685,0,2223,0,0,0,0,0,23908,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Kontorelev,5.0,19406,0,3303,0,0,0,0,0,22709,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Kontorfuldmægtig,13.9,32325,0,6430,411,5690,514,72,10,45452,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
240 - Kontorfunktionærer,Studentermedhjælper,16.3,21692,0,3167,58,0,0,61,0,24978,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.01 - Departementet,Departement
46 - Jurister/økonomer,Fuldmægtig,58.5,33030,37,7000,4212,1422,58,0,0,45758,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,Souschef,4.0,51007,0,10732,0,6246,1041,313,0,69338,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,Specialkonsulent,12.1,46938,0,8560,21,1892,0,152,0,57561,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,Kontorfunktionær,24.3,29402,185,5221,11,1773,0,112,0,36704,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
240 - Kontorfunktionærer,Studentermedhjælper,3.4,20131,0,3080,94,0,0,0,0,23306,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.11 - Civilstyrelsen,Styrelse
46 - Jurister/økonomer,Chefkonsulent,4.0,50522,0,10982,0,9156,1460,417,0,72536,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
46 - Jurister/økonomer,Fuldmægtig,9.6,33609,0,6823,3348,1099,407,157,0,45444,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
46 - Jurister/økonomer,Specialkonsulent,6.0,47535,0,9529,0,3786,966,319,0,62136,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
240 - Kontorfunktionærer,Kontorfuldmægtig,4.6,31501,0,5662,0,2549,0,487,0,40199,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
303 - Polititjenestemænd,Seniorefterforsker,9.0,41131,0,8679,12236,0,0,93,0,62139,"2026, 1. kvt.",§11 - Justitsministeriet,§11.11.51 - Politiklagemyndigheden og Bevismiddeltilsynet,Andet
22 - Civiløkonomer,Chefkonsulent,8.0,51531,0,10452,1346,4900,0,642,4,68875,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
22 - Civiløkonomer,Specialkonsulent,7.0,47258,0,9324,176,2684,387,0,0,59828,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
35 - Fysioterapeuter,Fysioterapeut,6.0,33734,0,7952,1969,7328,0,0,0,50983,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
36 - Bygningskonstruktør,Bygningskonstruktør,11.0,34888,0,7960,1626,6922,0,205,2,51601,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
38 - Bibliotekarer,Specialkonsulent,4.0,47144,0,9032,0,1746,0,208,0,58131,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,Chefkonsulent,7.0,51674,0,11104,515,7690,922,1263,1,73170,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,Oversætter,5.5,41941,0,9816,146,7482,3557,16,3,62962,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
39 - Erhvervss.kandidater,Specialkonsulent,12.6,47115,0,9348,0,1783,1704,300,91,60342,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Bilinspektør (C.ing),6.0,47311,0,10301,76,8523,0,139,111,66461,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Centerchef,4.0,54384,0,14454,0,11359,13149,1042,0,94388,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Chefkonsulent,33.7,50694,0,10763,108,7227,427,294,4,69517,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Fuldmægtig,13.8,32071,0,7888,3899,7776,0,235,0,51870,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Ingeniør,7.1,39402,1249,9369,0,9464,674,420,0,60578,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,IT-Ingeniør,5.0,41397,0,9267,0,8790,0,289,0,59743,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,IT-specialist,10.0,38247,0,8911,208,9668,302,200,0,57536,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Sektionsleder,6.0,53609,0,12749,91,15760,0,1528,0,83737,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
44 - Ingeniører,Specialkonsulent,32.7,47496,237,9927,98,5079,268,467,22,63595,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Advokaturchef,23.0,58073,0,14159,0,6694,12494,3573,0,94993,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Afdelingschef,9.0,65074,0,18174,0,16096,18355,787,0,118486,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Afdelingsleder,5.0,53609,0,12272,657,11167,1387,2167,0,81258,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Analytiker,43.7,37436,109,7985,3346,2784,420,223,1,52305,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Anklager,194.1,36667,0,8154,4386,1929,2023,1551,167,54877,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Anklagerfuldmægtig,250.1,31557,0,6752,4093,225,1190,528,130,44475,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Bachelor,5.5,29369,0,6226,4113,1122,0,451,0,41281,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Centerchef,36.0,55462,0,14472,321,14602,8625,1077,-4,94555,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Chefanklager,4.0,61187,0,17875,0,11359,15428,2079,0,107929,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Chefkonsulent,184.7,51079,238,10570,244,5252,514,599,0,68496,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Controller,4.0,36186,0,7502,3111,2051,0,0,0,48850,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Faglærer,4.0,36181,0,8221,0,8217,0,0,0,52618,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Fuldmægtig,222.7,32977,32,7243,4187,2732,75,227,0,47474,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,IT-Konsulent,3.1,40128,2366,9699,0,10133,0,824,0,63150,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Juridisk Konsulent,12.1,33994,0,7567,4778,1843,0,470,0,48651,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Konsulent,13.0,35387,0,7507,3911,2259,87,205,0,49356,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Sekretariatschef,6.0,57161,0,14536,0,9126,13060,2101,1245,97229,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Sektionsleder,89.0,53605,0,11819,120,10298,286,1718,121,77966,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Senioranklager,95.5,42593,52,9773,3146,6624,685,2873,116,65862,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Specialanklager,148.9,49753,274,11030,33,8119,1739,3729,74,74750,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Specialkonsulent,301.7,47414,0,9252,12,2442,193,430,7,59748,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Udviklingskonsulent,4.9,42549,0,8507,1793,2163,0,308,0,55321,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
46 - Jurister/økonomer,Økonomichef,8.0,54191,0,13543,0,14158,1700,833,0,84425,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,Analytiker,17.8,35480,296,7900,4114,3979,0,296,0,52064,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,Centerchef,4.0,55190,0,14406,0,15663,7772,0,0,93031,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,Chefkonsulent,109.7,50982,0,10354,25,4831,203,476,0,66870,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,Faglærer,4.9,35759,0,8223,0,8635,0,424,0,53041,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,Fuldmægtig,80.7,33108,0,7409,4233,3299,120,249,10,48428,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,Kommunikationskonsulent,5.0,39186,0,8338,2784,3699,239,417,0,54663,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,Konsulent,5.5,36476,0,7446,3991,195,656,0,6,48771,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,Psykolog,15.6,46662,0,9571,1067,4214,203,341,0,62057,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,Sektionsleder,20.0,53609,0,11402,0,8310,82,458,0,73861,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,Specialkonsulent,130.5,47241,0,9218,56,2232,159,249,0,59155,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,Tekniker,7.0,36181,0,8212,0,7725,446,0,0,52565,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
49 - Magistre,Underviser,11.0,38926,0,8306,0,5944,0,417,0,53593,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
54 - Maskinmestre,Maskinmester,3.9,33426,0,9973,0,20266,0,256,35,63957,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
60 - Journalister,Analytiker,4.0,34476,0,9668,324,16934,929,521,0,62851,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
60 - Journalister,Informationsspecialist,5.5,36336,0,9182,300,13263,0,421,0,59502,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
60 - Journalister,Journalist,5.0,33631,0,8841,208,12535,1663,0,0,56879,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
60 - Journalister,Kommunikationskonsulent,9.0,35860,0,9619,208,15717,1123,250,0,62778,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
60 - Journalister,Kommunikationsrådgiver,7.0,36576,0,9992,278,14682,2871,95,0,64495,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
103 - Særligt aflønnede,Chefkonsulent,12.1,49841,565,9780,5163,0,0,428,0,65777,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
103 - Særligt aflønnede,Konsulent,68.9,36664,0,5903,1632,0,0,185,72,44456,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
103 - Særligt aflønnede,Operatør,41.8,30916,0,3936,1169,0,0,131,3491,39643,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
103 - Særligt aflønnede,Sagsbehandler,3.5,31215,0,4859,3857,0,0,289,56,40277,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
103 - Særligt aflønnede,Specialkonsulent,9.9,48069,0,8697,2200,0,0,168,11,59144,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
103 - Særligt aflønnede,Våbentekniker,4.0,31433,0,5614,4510,0,0,0,213,41771,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
172 - Lærlinge og elever,EFG-elev,4.0,19972,0,3461,0,0,0,0,29,23463,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
175 - Daktyloskopit. og måleoperatør,Daktyloskopitekniker,12.0,33796,0,7562,29,4656,954,201,416,47614,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
175 - Daktyloskopit. og måleoperatør,Operatør,98.5,25332,0,5157,165,807,37,193,2570,34262,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,Elektriker,4.4,30006,0,7271,0,12624,0,306,126,50334,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,Elektroniktekniker,5.0,30043,0,7032,76,11051,0,167,21,48389,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,Håndværker,9.3,30021,0,7595,353,8013,2639,108,428,49157,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,Mekaniker,5.0,29770,0,6860,0,8103,2263,450,251,47697,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,Tekniker,4.0,29975,0,7237,91,12335,0,313,391,50341,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
179 - Håndværkere og Teknikere,Våbenmekaniker,8.0,30316,0,6821,0,9046,537,417,241,47378,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
193 - Socialrådgivere,Konsulent,8.0,32782,0,7802,64,7893,0,417,545,49503,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
193 - Socialrådgivere,Socialrådgiver,29.0,32897,0,7779,29,7586,99,224,210,48825,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,Advokaturchef,16.0,54244,0,11347,20255,0,0,3751,0,89596,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,Afdelingsleder,4.0,41318,0,13065,151,24062,1640,0,28,80263,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,Chefkonsulent,5.0,44954,0,11331,10918,10374,660,833,92,79163,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,Konsulent,41.4,34486,78,6929,1108,6327,537,492,273,50231,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,Kontorfuldmægtig,121.9,32212,45,5828,495,2677,422,306,285,42269,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,Sektionsleder,15.0,40759,0,9022,4846,8578,1146,1318,138,65808,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,Senioranklager,4.9,46770,1679,9116,13916,0,0,4982,94,76556,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
201 - Tjenestemænd,Specialanklager,30.4,47967,1700,9360,12936,0,0,6240,117,78321,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),Advokaturchef,9.0,54244,0,10577,9999,2704,11787,1954,74,91339,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),Afdelingschef,4.0,57982,0,12769,20078,0,16470,313,547,108158,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),Centerchef,5.0,53217,0,10535,10947,1936,10748,2038,904,90326,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),Chefanklager,10.0,61720,0,12833,16031,1489,21961,0,162,114196,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),Chefpolitiinspektør,14.0,61186,0,14078,18745,1487,20183,387,126,116192,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),Politidirektør,14.0,68053,0,16217,8302,20788,24234,28,3,137625,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
207 - Tjenestemænd (åremål),Stabschef,8.0,61720,0,13070,16690,2081,20984,0,0,114544,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
224 - Servicemedarbejdere,Ejendomsservicemedarbejder,3.8,27148,0,5286,74,6631,0,219,63,39420,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
224 - Servicemedarbejdere,Ejendomsservicetekniker,27.9,28745,0,5219,357,3226,1138,200,496,39381,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
224 - Servicemedarbejdere,Servicemedarbejder,7.0,26339,0,5008,127,4324,0,118,515,36431,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
226 - Fagfotografer,Fotograf,4.0,29028,0,6253,298,8213,0,208,29,44030,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,IT Sikkerhedsspecialist,10.0,34100,0,8830,479,19173,198,660,134,63575,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,IT-driftsmedarbejder,15.0,34050,0,7833,635,12444,587,737,158,56445,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,IT-Konsulent,26.8,33965,0,7792,57,13073,357,1092,269,56604,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,IT-Medarbejder,82.8,33541,41,7080,114,8839,473,513,199,50798,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,IT-specialist,80.5,33985,362,8148,75,15064,208,979,161,58981,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,IT-Supporter,52.1,32857,103,6423,429,4929,302,423,920,46386,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,IT-sys.medarb. HK,25.1,33705,283,7486,209,10286,204,539,301,53013,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,IT-Systemarkitekt,7.0,34459,0,9277,68,21743,471,737,203,66959,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,IT-Udvikler,13.6,33431,0,7815,94,14433,0,134,27,55933,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,Konsulent,9.0,33778,0,7398,408,10814,0,388,57,52843,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
238 - IT-medarbejdere,Netværksadministra.,12.1,34113,446,8235,395,14599,692,789,146,59415,"2026, 1. kvt.",§11 - Justitsministeriet,§11.23.01 - Politiet og den lokale anklagemyndighed mv.,Andet
